start_station_id,start_lat,start_lng,TRACTCE,pop_den,male_ratio,white_ratio,median_age,housing_unit_den,LU_diversity,bike_density,dist_to_transit
31100.0,38.90028618933749,-77.04290410015595,010700,0.00198746506233821,0.4887133182844244,0.7933059307105108,32.4,0.001529854596517674,1.4102079047824059,0.6096224290073543,0.1190835946216946
31101.0,38.91776819509668,-77.03207769009437,004300,0.01712759934768097,0.4203256043413912,0.7767349260523322,34.2,0.010088975639433192,2.515273963689735,0.7442222521454556,0.1046521603605471
31102.0,38.92946490355618,-77.02782166867797,003000,0.019991834254353483,0.47637140821657564,0.46648793565683644,30.4,0.007600789988416035,1.9143950994679075,0.40796879755444365,0.10209360802932359
31103.0,38.92612228939876,-77.03543029492772,003702,0.02106548873941706,0.34511517077045273,0.3031161473087819,28.7,0.011653783087374091,1.9010845179771476,0.5673752558240208,0.12629061089472696
31104.0,38.92289088349154,-77.04253707600445,003901,0.02121525908130721,0.4021866458414682,0.6743119266055045,38.2,0.01495257424512281,2.0410131942162537,0.5275673616034666,0.07237627388772108
31105.0,38.926790923567296,-77.03220147919953,003000,0.019991834254353483,0.47637140821657564,0.46648793565683644,30.4,0.007600789988416035,1.9143950994679075,0.4536805678809172,0.1356138547803619
31106.0,38.923201240466774,-77.0476404851002,004001,0.017654416186719896,0.5377220480668756,0.8923010380622838,33.2,0.008921291189025852,1.8081392257242488,0.32202741801281326,0.1499526066800058
31107.0,38.93190876872124,-77.03879199062493,002702,0.012640338022053266,0.52056151940545,0.6984924623115578,34.1,0.004870339984384851,1.6174912056289341,0.33769920795987013,0.08522314685680658
31108.0,38.87669768729377,-77.01789619155787,010201,0.013134420530180005,0.5485415759686547,0.6585484656600098,34.5,0.010572722490336452,1.893704106431458,0.3541858578654732,0.11635481026127832
31109.0,38.91560261595159,-77.02202782925954,004402,0.0091611888799109,0.4918553833929281,0.6138424821002386,34.6,0.003970940432253791,2.462944703987125,0.5797076316115382,0.08673729177814289
31110.0,38.91540159074388,-77.04459973790475,004002,0.017642679263690276,0.4278230500582072,0.8572309589885908,38.2,0.011814844291545789,1.7100327495589982,0.5126025942188728,0.19591927366619796
31111.0,38.91719905100391,-77.02590071767057,004401,0.014265173454302437,0.5633162975582056,0.6473331390265229,32.6,0.007116385508009478,2.1698365810707765,0.7554230062384247,0.06896031352904254
31112.0,38.927874714046276,-77.04335041869021,003902,0.008532416805183986,0.5554089709762533,0.7994530537830447,39.3,0.005027897325834012,1.853276573291621,0.42701934826267807,0.1816508714148024
31113.0,38.920665747897175,-77.04367546392905,004002,0.017642679263690276,0.4278230500582072,0.8572309589885908,38.2,0.011814844291545789,1.7100327495589982,0.5645319727529985,0.12077184928571791
31114.0,38.91880461771348,-77.04156970493638,003801,0.011260474860335195,0.45915324985092426,0.8248877485567672,34.1,0.007036957455951869,1.9819257391843883,0.6798079419053994,0.15646670849094155
31115.0,38.92811811999801,-77.0237899162538,003100,0.01288664135382169,0.501437908496732,0.49003769520732365,33.2,0.005612848234109002,1.9824004846664478,0.3784266010943356,0.09710500336215154
31116.0,38.91776010924426,-77.04062495956236,003801,0.011260474860335195,0.45915324985092426,0.8248877485567672,34.1,0.007036957455951869,1.9819257391843883,0.711651774287984,0.1401590895831295
31117.0,38.92334300230943,-77.03518661536616,003701,0.013318676232353622,0.5095569070373588,0.7390716538981523,31.1,0.009563758389261745,1.837241323739964,0.6651830245269842,0.22308124323288894
31118.0,38.91762245200252,-77.0159683909171,003400,0.005501076297536474,0.37834064619066615,0.37692823608316567,23.6,0.0013988576544393708,1.9425792290653319,0.29859273804341546,0.21655076794552824
31119.0,38.92107099796527,-77.0318680557967,003600,0.015895764619653422,0.48023878139151915,0.561283422459893,34.1,0.0069891628710538715,1.8150269858396293,0.6285357644519931,0.09656109308711859
31120.0,38.92038650191571,-77.02567018794471,003500,0.012700872465126262,0.47217642209398186,0.295099281791297,24.7,0.004057368573978918,2.6652311069667003,0.587934016589689,0.12164451654896916
31121.0,38.923581746047475,-77.05004948671483,000501,0.003555441165053087,0.49925216871073885,0.7680330473466794,36.7,0.0025791040458431756,1.700205476149904,0.2727416647419327,0.15742757618699016
31122.0,38.92888641846409,-77.03624569013193,002802,0.022042177486765114,0.468694449930871,0.44840370751802267,32.0,0.011201762329339648,2.1449649298540345,0.42147638224727185,0.08223855978098663
31123.0,38.925285571337554,-77.0323700497676,003702,0.02106548873941706,0.34511517077045273,0.3031161473087819,28.7,0.011653783087374091,1.9010845179771476,0.5428609832264424,0.14432114586352796
31124.0,38.92857573162225,-77.03222949940381,003000,0.019991834254353483,0.47637140821657564,0.46648793565683644,30.4,0.007600789988416035,1.9143950994679075,0.3840337840056919,0.10711350102131734
31125.0,38.91901671997758,-77.03445110712005,004300,0.01712759934768097,0.4203256043413912,0.7767349260523322,34.2,0.010088975639433192,2.515273963689735,0.769739386676089,0.2210734493530062
31126.0,38.925629800859696,-77.0271073041787,003600,0.015895764619653422,0.48023878139151915,0.561283422459893,34.1,0.0069891628710538715,1.8150269858396293,0.5105869189071347,0.10572667378866649
31127.0,38.89893583411996,-77.04884527092898,010800,0.009599746062456543,0.43756888678948197,0.7341813976540559,19.9,0.0017715166722089544,2.0207762373463063,0.4002229766125071,0.18448433059363795
31128.0,38.90530247372967,-77.05026424977697,005501,0.010318727276038095,0.6458823529411765,0.974294670846395,31.7,0.008315680216571876,1.9300963557419943,0.408437587814885,0.24022949145804579
